Date,AAPL_Score,SBUX_Score,MSFT_Score,CSCO_Score,QCOM_Score,Facebook_Score,AMZN_Score,TSLA_Score,AMD_Score,ZNGA_Score
2012-04-02,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-03,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-04,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-05,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-09,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-10,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-11,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-12,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-13,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-16,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-17,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-18,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-19,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-20,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-23,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-24,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-25,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-26,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-27,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-04-30,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-01,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-02,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-03,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-04,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-07,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-08,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-09,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-10,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-11,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-14,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-15,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-16,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-17,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN
2012-05-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-05-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2012-06-29,69.35,20.97,51.61,53.23,11.29,NaN,93.55,40.32,14.52,6.45
2012-07-02,79.03,14.52,51.61,48.39,11.29,NaN,93.55,35.48,16.13,11.29
2012-07-03,80.65,4.84,64.52,54.84,17.74,NaN,95.16,38.71,37.1,6.45
2012-07-05,90.32,11.29,61.29,48.39,17.74,NaN,87.1,43.55,27.42,9.68
2012-07-06,85.48,6.45,45.16,38.71,9.68,NaN,77.42,41.94,17.74,4.84
2012-07-09,95.16,12.9,38.71,24.19,11.29,NaN,77.42,50.0,6.45,4.84
2012-07-10,88.71,12.9,29.03,11.29,9.68,NaN,53.23,46.77,0.0,1.61
2012-07-11,83.87,11.29,19.35,8.06,4.84,NaN,48.39,53.23,0.0,0.0
2012-07-12,80.65,22.58,4.84,1.61,1.61,NaN,35.48,79.03,0.0,4.84
2012-07-13,87.1,43.55,27.42,6.45,9.68,NaN,48.39,100.0,3.23,0.0
2012-07-16,88.71,29.03,29.03,6.45,6.45,NaN,33.87,100.0,0.0,0.0
2012-07-17,90.32,50.0,33.87,8.06,9.68,NaN,37.1,88.71,1.61,0.0
2012-07-18,88.71,35.48,59.68,43.55,30.65,NaN,38.71,67.74,6.45,1.61
2012-07-19,100.0,62.9,67.74,38.71,64.52,NaN,82.26,72.58,1.61,0.0
2012-07-20,80.65,6.45,53.23,14.52,54.84,NaN,88.71,58.06,0.0,4.84
2012-07-23,79.03,0.0,19.35,3.23,53.23,NaN,79.03,40.32,0.0,19.35
2012-07-24,75.81,0.0,14.52,0.0,38.71,NaN,61.29,25.81,0.0,9.68
2012-07-25,48.39,0.0,6.45,1.61,51.61,NaN,29.03,11.29,0.0,20.97
2012-07-26,48.39,25.81,17.74,1.61,67.74,NaN,46.77,4.84,1.61,0.0
2012-07-27,67.74,0.0,46.77,4.84,79.03,NaN,100.0,24.19,4.84,0.0
2012-07-30,75.81,0.0,38.71,6.45,79.03,NaN,98.39,0.0,6.45,0.0
2012-07-31,96.77,0.0,37.1,8.06,83.87,NaN,96.77,1.61,4.84,0.0
2012-08-01,88.71,0.0,35.48,12.9,83.87,NaN,95.16,0.0,3.23,0.0
2012-08-02,91.94,0.0,20.97,6.45,75.81,NaN,93.55,0.0,0.0,0.0
2012-08-03,100.0,3.23,53.23,29.03,88.71,NaN,96.77,3.23,11.29,1.61
2012-08-06,100.0,1.61,64.52,62.9,88.71,NaN,95.16,16.13,3.23,4.84
2012-08-07,98.39,8.06,79.03,91.94,91.94,NaN,98.39,48.39,4.84,9.68
2012-08-08,96.77,8.06,80.65,95.16,95.16,NaN,93.55,24.19,20.97,6.45
2012-08-09,96.77,6.45,83.87,100.0,100.0,NaN,91.94,32.26,20.97,12.9
2012-08-10,98.39,12.9,82.26,98.39,98.39,NaN,87.1,46.77,20.97,9.68
2012-08-13,100.0,14.52,82.26,95.16,100.0,NaN,85.48,64.52,20.97,4.84
2012-08-14,100.0,16.13,72.58,91.94,100.0,NaN,87.1,33.87,17.74,17.74
2012-08-15,98.39,20.97,77.42,95.16,100.0,NaN,100.0,30.65,20.97,19.35
2012-08-16,100.0,22.58,98.39,100.0,100.0,0.0,100.0,50.0,20.97,12.9
2012-08-17,100.0,22.58,98.39,100.0,100.0,0.0,98.39,45.16,17.74,14.52
2012-08-20,100.0,20.97,93.55,96.77,98.39,3.23,96.77,33.87,16.13,12.9
2012-08-21,98.39,22.58,96.77,100.0,90.32,1.61,95.16,20.97,12.9,12.9
2012-08-22,100.0,25.81,80.65,100.0,91.94,3.23,100.0,46.77,4.84,30.65
2012-08-23,96.77,20.97,69.35,96.77,87.1,4.84,96.77,61.29,0.0,30.65
2012-08-24,96.77,32.26,82.26,98.39,93.55,3.23,100.0,33.87,1.61,33.87
2012-08-27,100.0,33.87,85.48,100.0,90.32,1.61,98.39,16.13,0.0,27.42
2012-08-28,98.39,35.48,82.26,98.39,82.26,4.84,100.0,17.74,0.0,29.03
2012-08-29,96.77,35.48,82.26,95.16,87.1,1.61,100.0,17.74,0.0,12.9
2012-08-30,91.94,38.71,64.52,83.87,72.58,1.61,98.39,17.74,0.0,4.84
2012-08-31,93.55,38.71,96.77,88.71,75.81,0.0,100.0,17.74,1.61,3.23
2012-09-04,98.39,38.71,64.52,83.87,69.35,0.0,98.39,9.68,0.0,6.45
2012-09-05,93.55,43.55,66.13,80.65,67.74,3.23,95.16,8.06,0.0,9.68
2012-09-06,100.0,50.0,100.0,100.0,96.77,4.84,100.0,20.97,3.23,12.9
